name,Qs_lower,Qs_upper,Qdots_lower,Qdots_upper,Qdotdots_lower,Qdotdots_upper
pelvis_tilt,-0.34906585,0.785398163,-2.35322042,2.466032943,-37.92132681,39.57369348
pelvis_list,-0.416176699,0.416176699,-12.41555503,12.41555503,-184.0645282,184.0645282
pelvis_rotation,-0.31172284,0.31172284,-5.992535546,5.992535546,-123.0983825,123.0983825
hip_flexion_r,-1.918116687,2.119023214,-41.20486726,43.70777559,-385.8979274,402.8899064
hip_adduction_r,-0.63881189,0.718717426,-20.43730165,20.49713835,-282.4908821,291.0948066
hip_rotation_r,-0.507448252,0.471590337,-13.33873372,13.91173602,-270.5415725,273.7361785
knee_angle_r,-1.697941522,3.054787729,-38.88469571,39.50515416,-435.3677038,441.7817592
ankle_angle_r,-1.417419483,1.354808847,-25.98051807,24.15600841,-1585.789391,1721.371598
subtalar_angle_r,-0.820228848,0.904224761,-14.8908127,14.67019964,-924.8254959,931.5946457
hip_flexion_l,-1.918116687,2.119023214,-41.20486726,43.70777559,-385.8979274,402.8899064
hip_adduction_l,-0.63881189,0.718717426,-20.43730165,20.49713835,-282.4908821,291.0948066
hip_rotation_l,-0.507448252,0.471590337,-13.33873372,13.91173602,-270.5415725,273.7361785
knee_angle_l,-1.697941522,3.054787729,-38.88469571,39.50515416,-435.3677038,441.7817592
ankle_angle_l,-1.417419483,1.354808847,-25.98051807,24.15600841,-1585.789391,1721.371598
subtalar_angle_l,-0.820228848,0.904224761,-14.8908127,14.67019964,-924.8254959,931.5946457
