name,Qs_lower,Qs_upper,Qdots_lower,Qdots_upper,Qdotdots_lower,Qdotdots_upper
pelvis_tilt,-0.785398163,0.261799388,-17.45329252,17.45329252,-1745.329252,1745.329252
pelvis_list,-0.417133691,0.361283155,-17.45329252,17.45329252,-1745.329252,1745.329252
pelvis_rotation,-0.785398163,0.785398163,-17.45329252,17.45329252,-1745.329252,1745.329252
pelvis_tx,0,4,0,20,-100,100
pelvis_ty,0.6,1.1,-4,4,-300,300
pelvis_tz,-0.3,0.3,-4,4,-200,200
hip_flexion_r,-1.918116848,2.118829712,-34.90658504,34.90658504,-2617.993878,2617.993878
hip_adduction_r,-0.638790506,0.719075652,-34.90658504,34.90658504,-2617.993878,2617.993878
hip_rotation_r,-0.174532925,0.174532925,-43.6332313,43.6332313,-17453.29252,17453.29252
knee_angle_r,-3.054326191,0.174532925,-43.6332313,43.6332313,-17453.29252,17453.29252
ankle_angle_r,-1.417207353,1.3543755,-87.2664626,87.2664626,-69813.17008,69813.17008
subtalar_angle_r,-0.820304748,0.904080553,-87.2664626,87.2664626,-34906.58504,34906.58504
mtp_angle_r,-1.047197551,1.047197551,-87.2664626,87.2664626,-34906.58504,34906.58504
hip_flexion_l,-1.918116848,2.118829712,-34.90658504,34.90658504,-2617.993878,2617.993878
hip_adduction_l,-0.638790506,0.719075652,-34.90658504,34.90658504,-2617.993878,2617.993878
hip_rotation_l,-0.174532925,0.174532925,-43.6332313,43.6332313,-17453.29252,17453.29252
knee_angle_l,-3.054326191,0.174532925,-43.6332313,43.6332313,-17453.29252,17453.29252
ankle_angle_l,-1.417207353,1.3543755,-87.2664626,87.2664626,-69813.17008,69813.17008
subtalar_angle_l,-0.820304748,0.904080553,-87.2664626,87.2664626,-34906.58504,34906.58504
mtp_angle_l,-1.047197551,1.047197551,-87.2664626,87.2664626,-34906.58504,34906.58504
lumbar_extension,-0.34906585,0.34906585,-17.45329252,17.45329252,-1745.329252,1745.329252
lumbar_bending,-0.445058959,0.530580093,-17.45329252,17.45329252,-1745.329252,1745.329252
lumbar_rotation,-0.664970445,0.657989128,-17.45329252,17.45329252,-1745.329252,1745.329252
arm_flex_r,-1.221730476,0.872664626,-87.2664626,87.2664626,-69813.17008,69813.17008
arm_add_r,-0.743510261,0.087266463,-87.2664626,87.2664626,-69813.17008,69813.17008
arm_rot_r,-0.230383461,0.338593875,-87.2664626,87.2664626,-69813.17008,69813.17008
elbow_flex_r,0,2.00712864,-87.2664626,87.2664626,-69813.17008,69813.17008
arm_flex_l,-1.221730476,0.872664626,-87.2664626,87.2664626,-69813.17008,69813.17008
arm_add_l,-0.743510261,0.087266463,-87.2664626,87.2664626,-69813.17008,69813.17008
arm_rot_l,-0.230383461,0.338593875,-87.2664626,87.2664626,-69813.17008,69813.17008
elbow_flex_l,0,2.00712864,-87.2664626,87.2664626,-69813.17008,69813.17008
