MuscleName,SlowTwitchRatio
glut_med1_r,0.55
glut_med2_r,0.55
glut_med3_r,0.55
glut_min1_r,0.55
glut_min2_r,0.55
glut_min3_r,0.55
semimem_r,0.4925
semiten_r,0.425
bifemlh_r,0.5425
bifemsh_r,0.529
sar_r,0.5
add_long_r,0.5
add_brev_r,0.5
add_mag1_r,0.552
add_mag2_r,0.552
add_mag3_r,0.552
tfl_r,0.5
pect_r,0.5
grac_r,0.5
glut_max1_r,0.55
glut_max2_r,0.55
glut_max3_r,0.55
iliacus_r,0.5
psoas_r,0.5
quad_fem_r,0.5
gem_r,0.5
peri_r,0.5
rect_fem_r,0.3865
vas_med_r,0.503
vas_int_r,0.543
vas_lat_r,0.455
med_gas_r,0.566
lat_gas_r,0.507
soleus_r,0.803
tib_post_r,0.6
flex_dig_r,0.6
flex_hal_r,0.6
tib_ant_r,0.7
per_brev_r,0.6
per_long_r,0.6
per_tert_r,0.75
ext_dig_r,0.75
ext_hal_r,0.75
glut_med1_l,0.55
glut_med2_l,0.55
glut_med3_l,0.55
glut_min1_l,0.55
glut_min2_l,0.55
glut_min3_l,0.55
semimem_l,0.4925
semiten_l,0.425
bifemlh_l,0.5425
bifemsh_l,0.529
sar_l,0.5
add_long_l,0.5
add_brev_l,0.5
add_mag1_l,0.552
add_mag2_l,0.552
add_mag3_l,0.552
tfl_l,0.5
pect_l,0.5
grac_l,0.5
glut_max1_l,0.55
glut_max2_l,0.55
glut_max3_l,0.55
iliacus_l,0.5
psoas_l,0.5
quad_fem_l,0.5
gem_l,0.5
peri_l,0.5
rect_fem_l,0.3865
vas_med_l,0.503
vas_int_l,0.543
vas_lat_l,0.455
med_gas_l,0.566
lat_gas_l,0.507
soleus_l,0.803
tib_post_l,0.6
flex_dig_l,0.6
flex_hal_l,0.6
tib_ant_l,0.7
per_brev_l,0.6
per_long_l,0.6
per_tert_l,0.75
ext_dig_l,0.75
ext_hal_l,0.75
ercspn_r,0.6
ercspn_l,0.6
intobl_r,0.56
intobl_l,0.56
extobl_r,0.58
extobl_l,0.58
